danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,duration_ms,time_signature,track_name,artist_name,release_date,release_date_num,track_popularity,album_name,artist_id,total_tracks,track_number,tracks_external_id
0.90,0.61,8.00,-9.50,0.00,0.10,0.16,0.05,0.10,0.84,112.02,2ZxeOER2sS3TSUvCzbzIUx,198316,5,Дико дикая,ЭGO,2019-11-29,43798,24,Дико дикая,6z0RqMOlBhJ1zgjcN5bw6d,1,1,FRX201934616
0.75,0.72,2.00,-6.69,1.00,0.04,0.37,0.02,0.23,0.59,137.02,4hyd1p5URvEZXLIk7Acu9y,119124,4,неволновайся,Салам,2019-11-28,43797,6,неволновайся,5Exan8U6vUA0AGDvVavzsD,1,1,FRX201946473
0.86,0.59,10.00,-6.26,0.00,0.04,0.08,0.00,0.11,0.47,100.01,0UU9DvkZhylamgkUwk1015,249600,4,Хайям,Tural Everest,2019-11-26,43795,16,Хайям,1GAgS4w3PCCjbA6JKEmlLc,1,1,FRX201929596
0.69,0.97,0.00,-3.44,0.00,0.25,0.23,0.00,0.07,0.75,121.98,3RqhDae1e8576OlNnfPD7e,227787,4,Царица ночи,Шамиль Кашешов,2019-11-22,43791,5,Царица ночи,5Cf8wc0BieFpCUdrY1eHrE,1,1,FRX201926928
0.43,0.81,10.00,-3.01,0.00,0.06,0.33,0.00,0.07,0.96,80.81,5ozvfbafNxzpYYIkXVLd69,189020,3,Дели,Арни Пашаян,2019-11-21,43790,1,Дели,28gc6lv2h6JqzvXi4TwNYx,1,1,FRX201926929
0.59,0.27,0.00,-12.01,0.00,0.03,0.83,0.07,0.12,0.52,111.71,7qh6aqb8Sr88V8CRIA6EhY,239909,4,Мама,Магамед Матаев,2019-11-20,43789,0,Чеченская гитара,2o84qEJKQ3zlkujPiTDAVo,11,5,RUA1H1915982
0.31,0.38,0.00,-17.97,0.00,0.06,0.85,0.00,0.30,0.59,186.67,37tbKpWlFJUZHwImiZflXi,170876,4,Эту песню под гитару,Магамед Матаев,2019-11-20,43789,0,Чеченская гитара,2o84qEJKQ3zlkujPiTDAVo,11,11,RUA1H1915988
0.49,0.43,2.00,-12.08,0.00,0.04,0.70,0.01,0.28,0.60,95.44,7xuYd8NWC6Q9b7Gp4QvonI,205473,4,А помнишь любимая,Магамед Матаев,2019-11-20,43789,0,Чеченская гитара,2o84qEJKQ3zlkujPiTDAVo,11,9,RUA1H1915986
0.77,0.95,7.00,-2.46,1.00,0.10,0.22,0.00,0.25,0.89,105.03,2aUoHYzj40KRTBorOGRbdu,269244,4,Лишь ты одна,Марат Пашаян,2019-11-20,43789,0,Лишь ты одна,4A1DgXUwnxpUihk4HCoQjk,7,4,FRX201926935
0.57,0.83,9.00,-5.02,0.00,0.20,0.21,0.00,0.34,0.81,92.07,4ZkMFKG9adt4rp5bYddIJE,266087,4,Девушки горянки,Резуан Маремуков,2019-11-19,43788,0,Девушки горянки,3CLQQOUCPnwuDshSCaidMP,3,2,FRX201920521
0.71,0.85,8.00,-5.83,0.00,0.04,0.29,0.00,0.29,0.61,99.98,4bDhXe0ai1lSmO3aNhCr8i,245850,4,С кем ты теперь,Братья Хубиевы,2019-11-15,43784,2,С кем ты теперь,2YzfZUN1x25oPiwZ0Eblwy,1,1,FRX201915209
0.68,0.93,1.00,-2.44,0.00,0.07,0.54,0.00,0.07,0.71,117.99,6x8h67UPH7vM3E3KCVUnPj,177243,4,Салам алейкум братьям,Ислам Итляшев,2019-11-15,43784,22,Салам алейкум братьям,10wTWA8McVIsmD0IRxYgoC,1,1,FRX201924838
0.65,0.97,6.00,-1.76,0.00,0.23,0.61,0.00,0.05,0.94,117.99,5nN6IEAYVGyKkadCwsTIkd,201483,4,Сын,Ислам Итляшев,2019-11-15,43784,19,Сын,10wTWA8McVIsmD0IRxYgoC,1,1,FRX201917331
0.70,0.83,5.00,-4.98,0.00,0.06,0.07,0.00,0.33,0.80,100.05,5IlVwsFdDjOmClUDwZtucA,214800,4,Лети моя любовь,Гюльназ Гаджикурбанова,2019-11-14,43783,2,Лети моя любовь,4OYyrTsPPCrfExrA1WrTGn,7,1,FRX201911612
